(venv) lukas@pi-lukas:~/preisvergleich-scraper $ python main.py --scraper spar --no-upload
Starting Spar scraper...
spar brot-gebaeck page 1/57: 32 products (32 new)
spar obst-gemuese page 1/14: 32 products (32 new)
spar obst-gemuese page 2/14: 32 products (32 new)
spar brot-gebaeck page 2/57: 32 products (32 new)
spar obst-gemuese page 3/14: 32 products (32 new)
spar brot-gebaeck page 3/57: 32 products (32 new)
spar obst-gemuese page 4/14: 32 products (32 new)
spar brot-gebaeck page 4/57: 32 products (32 new)
spar obst-gemuese page 5/14: 32 products (32 new)
spar brot-gebaeck page 5/57: 32 products (32 new)
spar obst-gemuese page 6/14: 32 products (32 new)
spar brot-gebaeck page 6/57: 32 products (32 new)
spar obst-gemuese page 7/14: 32 products (32 new)
spar brot-gebaeck page 7/57: 32 products (32 new)
spar obst-gemuese page 8/14: 32 products (32 new)
spar brot-gebaeck page 8/57: 32 products (32 new)
spar obst-gemuese page 9/14: 32 products (32 new)
spar brot-gebaeck page 9/57: 32 products (32 new)
spar obst-gemuese page 10/14: 32 products (32 new)
spar brot-gebaeck page 10/57: 32 products (32 new)
spar obst-gemuese page 11/14: 32 products (32 new)
spar brot-gebaeck page 11/57: 32 products (32 new)
spar obst-gemuese page 12/14: 32 products (32 new)
spar brot-gebaeck page 12/57: 32 products (32 new)
spar obst-gemuese page 13/14: 32 products (32 new)
spar brot-gebaeck page 13/57: 32 products (32 new)
spar obst-gemuese page 14/14: 2 products (2 new)
spar obst-gemuese total: 418 products (1 with null SKU)
spar brot-gebaeck page 14/57: 32 products (32 new)
spar milchprodukte-alternativen page 1/71: 32 products (32 new)
spar brot-gebaeck page 15/57: 32 products (32 new)
spar milchprodukte-alternativen page 2/71: 32 products (32 new)
spar brot-gebaeck page 16/57: 32 products (32 new)
spar milchprodukte-alternativen page 3/71: 32 products (32 new)
spar brot-gebaeck page 17/57: 32 products (32 new)
spar milchprodukte-alternativen page 4/71: 32 products (32 new)
spar brot-gebaeck page 18/57: 32 products (32 new)
spar milchprodukte-alternativen page 5/71: 32 products (32 new)
spar brot-gebaeck page 19/57: 32 products (32 new)
spar milchprodukte-alternativen page 6/71: 32 products (32 new)
spar brot-gebaeck page 20/57: 32 products (32 new)
spar milchprodukte-alternativen page 7/71: 32 products (32 new)
spar brot-gebaeck page 21/57: 32 products (32 new)
spar milchprodukte-alternativen page 8/71: 32 products (32 new)
spar brot-gebaeck page 22/57: 32 products (32 new)
spar milchprodukte-alternativen page 9/71: 32 products (32 new)
spar brot-gebaeck page 23/57: 32 products (32 new)
spar milchprodukte-alternativen page 10/71: 32 products (32 new)
spar brot-gebaeck page 24/57: 32 products (32 new)
spar milchprodukte-alternativen page 11/71: 32 products (32 new)
spar brot-gebaeck page 25/57: 32 products (32 new)
spar milchprodukte-alternativen page 12/71: 32 products (32 new)
spar brot-gebaeck page 26/57: 32 products (32 new)
spar milchprodukte-alternativen page 13/71: 32 products (32 new)
spar brot-gebaeck page 27/57: 32 products (32 new)
spar milchprodukte-alternativen page 14/71: 32 products (32 new)
spar brot-gebaeck page 28/57: 32 products (32 new)
spar milchprodukte-alternativen page 15/71: 32 products (32 new)
spar milchprodukte-alternativen page 16/71: 32 products (0 new)
spar brot-gebaeck page 29/57: 32 products (32 new)
spar milchprodukte-alternativen page 17/71: 32 products (32 new)
spar brot-gebaeck page 30/57: 32 products (32 new)
spar brot-gebaeck page 31/57: 32 products (32 new)
spar milchprodukte-alternativen page 18/71: 32 products (32 new)
spar brot-gebaeck page 32/57: 32 products (32 new)
spar milchprodukte-alternativen page 19/71: 32 products (32 new)
spar brot-gebaeck page 33/57: 32 products (32 new)
spar milchprodukte-alternativen page 20/71: 32 products (32 new)
spar brot-gebaeck page 34/57: 32 products (32 new)
spar milchprodukte-alternativen page 21/71: 32 products (32 new)
spar brot-gebaeck page 35/57: 32 products (32 new)
spar milchprodukte-alternativen page 22/71: 32 products (32 new)
spar brot-gebaeck page 36/57: 32 products (32 new)
spar milchprodukte-alternativen page 23/71: 32 products (32 new)
spar brot-gebaeck page 37/57: 32 products (32 new)
spar milchprodukte-alternativen page 24/71: 32 products (32 new)
spar brot-gebaeck page 38/57: 32 products (32 new)
spar milchprodukte-alternativen page 25/71: 32 products (31 new)
spar brot-gebaeck page 39/57: 32 products (31 new)
spar milchprodukte-alternativen page 26/71: 32 products (32 new)
spar brot-gebaeck page 40/57: 32 products (32 new)
spar milchprodukte-alternativen page 27/71: 32 products (32 new)
spar brot-gebaeck page 41/57: 32 products (31 new)
spar milchprodukte-alternativen page 28/71: 32 products (32 new)
spar brot-gebaeck page 42/57: 32 products (32 new)
spar milchprodukte-alternativen page 29/71: 32 products (32 new)
spar brot-gebaeck page 43/57: 32 products (31 new)
spar milchprodukte-alternativen page 30/71: 32 products (32 new)
spar brot-gebaeck page 44/57: 32 products (32 new)
spar milchprodukte-alternativen page 31/71: 32 products (32 new)
